          atime             vx             vy             vz             pr        garbage
  1.4637935E+02  2.1281789E-02 -1.4553705E-06 -1.7103959E-04  1.8073217E-03  0.0000000E+00
  1.4637935E+02  2.1414065E-02 -1.4732655E-06 -1.7205691E-04  1.8073191E-03  0.0000000E+00
  1.4637935E+02  2.1546339E-02 -1.4912616E-06 -1.7307365E-04  1.8073164E-03  0.0000000E+00
  1.4637935E+02  2.1678217E-02 -1.5093046E-06 -1.7408678E-04  1.8073138E-03  0.0000000E+00
  1.4637935E+02  2.1810489E-02 -1.5275027E-06 -1.7510238E-04  1.8073111E-03  0.0000000E+00
  1.4637935E+02  2.1942364E-02 -1.5457466E-06 -1.7611436E-04  1.8073085E-03  0.0000000E+00
  1.4637935E+02  2.2074635E-02 -1.5641458E-06 -1.7712881E-04  1.8073058E-03  0.0000000E+00
  1.4637935E+02  2.2206507E-02 -1.5825901E-06 -1.7813965E-04  1.8073032E-03  0.0000000E+00
  1.4637935E+02  2.2338775E-02 -1.6011900E-06 -1.7915296E-04  1.8073005E-03  0.0000000E+00
  1.4637935E+02  2.2470646E-02 -1.6198350E-06 -1.8016265E-04  1.8072979E-03  0.0000000E+00
  1.4637935E+02  2.2602911E-02 -1.6386340E-06 -1.8117481E-04  1.8072952E-03  0.0000000E+00
  1.4637935E+02  2.2735176E-02 -1.6575340E-06 -1.8218639E-04  1.8072926E-03  0.0000000E+00
  1.4637935E+02  2.2867043E-02 -1.6764767E-06 -1.8319437E-04  1.8072900E-03  0.0000000E+00
  1.4637935E+02  2.2999305E-02 -1.6955758E-06 -1.8420480E-04  1.8072873E-03  0.0000000E+00
  1.4637935E+02  2.3131170E-02 -1.7147178E-06 -1.8521164E-04  1.8072847E-03  0.0000000E+00
  1.4637935E+02  2.3263430E-02 -1.7340156E-06 -1.8622093E-04  1.8072821E-03  0.0000000E+00
  1.4637935E+02  2.3395292E-02 -1.7533543E-06 -1.8722662E-04  1.8072794E-03  0.0000000E+00
  1.4637935E+02  2.3527550E-02 -1.7728492E-06 -1.8823476E-04  1.8072768E-03  0.0000000E+00
  1.4637935E+02  2.3659410E-02 -1.7923851E-06 -1.8923932E-04  1.8072742E-03  0.0000000E+00
  1.4637935E+02  2.3791665E-02 -1.8120784E-06 -1.9024631E-04  1.8072715E-03  0.0000000E+00
  1.4637935E+02  2.3923919E-02 -1.8318703E-06 -1.9125273E-04  1.8072689E-03  0.0000000E+00
  1.4637935E+02  2.4055776E-02 -1.8517010E-06 -1.9225557E-04  1.8072663E-03  0.0000000E+00
  1.4637935E+02  2.4188027E-02 -1.8716895E-06 -1.9326084E-04  1.8072636E-03  0.0000000E+00
  1.4637935E+02  2.4319882E-02 -1.8917159E-06 -1.9426253E-04  1.8072610E-03  0.0000000E+00
  1.4637935E+02  2.4452131E-02 -1.9119004E-06 -1.9526666E-04  1.8072584E-03  0.0000000E+00
  1.4637935E+02  2.4583983E-02 -1.9321228E-06 -1.9626721E-04  1.8072557E-03  0.0000000E+00
  1.4637935E+02  2.4716230E-02 -1.9525019E-06 -1.9727019E-04  1.8072531E-03  0.0000000E+00
  1.4637935E+02  2.4848080E-02 -1.9729180E-06 -1.9826960E-04  1.8072505E-03  0.0000000E+00
  1.4637935E+02  2.4980324E-02 -1.9934928E-06 -1.9927143E-04  1.8072479E-03  0.0000000E+00
  1.4637935E+02  2.5112568E-02 -2.0141649E-06 -2.0027269E-04  1.8072452E-03  0.0000000E+00
  1.4637935E+02  2.5244414E-02 -2.0348719E-06 -2.0127039E-04  1.8072426E-03  0.0000000E+00
  1.4637935E+02  2.5376655E-02 -2.0557379E-06 -2.0227050E-04  1.8072400E-03  0.0000000E+00
  1.4637935E+02  2.5508499E-02 -2.0766380E-06 -2.0326705E-04  1.8072374E-03  0.0000000E+00
  1.4637935E+02  2.5640737E-02 -2.0976975E-06 -2.0426602E-04  1.8072347E-03  0.0000000E+00
  1.4637935E+02  2.5772579E-02 -2.1187902E-06 -2.0526143E-04  1.8072321E-03  0.0000000E+00
  1.4637935E+02  2.5904815E-02 -2.1400425E-06 -2.0625925E-04  1.8072295E-03  0.0000000E+00
  1.4637935E+02  2.6036654E-02 -2.1613271E-06 -2.0725352E-04  1.8072269E-03  0.0000000E+00
  1.4637935E+02  2.6168888E-02 -2.1827716E-06 -2.0825020E-04  1.8072242E-03  0.0000000E+00
  1.4637935E+02  2.6301121E-02 -2.2043122E-06 -2.0924630E-04  1.8072216E-03  0.0000000E+00
  1.4637935E+02  2.6432956E-02 -2.2258838E-06 -2.1023885E-04  1.8072190E-03  0.0000000E+00
  1.4637935E+02  2.6565187E-02 -2.2476158E-06 -2.1123381E-04  1.8072164E-03  0.0000000E+00
  1.4637935E+02  2.6697020E-02 -2.2693779E-06 -2.1222522E-04  1.8072137E-03  0.0000000E+00
  1.4637935E+02  2.6829247E-02 -2.2913007E-06 -2.1321904E-04  1.8072111E-03  0.0000000E+00
  1.4637935E+02  2.6961078E-02 -2.3132528E-06 -2.1420931E-04  1.8072085E-03  0.0000000E+00
  1.4637935E+02  2.7093304E-02 -2.3353658E-06 -2.1520198E-04  1.8072059E-03  0.0000000E+00
  1.4637935E+02  2.7225132E-02 -2.3575073E-06 -2.1619110E-04  1.8072033E-03  0.0000000E+00
  1.4637935E+02  2.7357355E-02 -2.3798099E-06 -2.1718263E-04  1.8072006E-03  0.0000000E+00
  1.4637935E+02  2.7489577E-02 -2.4022081E-06 -2.1817358E-04  1.8071980E-03  0.0000000E+00
  1.4637935E+02  2.7621401E-02 -2.4246320E-06 -2.1916099E-04  1.8071954E-03  0.0000000E+00
  1.4637935E+02  2.7753621E-02 -2.4472182E-06 -2.2015080E-04  1.8071928E-03  0.0000000E+00
  1.4637935E+02  2.7885443E-02 -2.4698307E-06 -2.2113707E-04  1.8071901E-03  0.0000000E+00
  1.4637935E+02  2.8017660E-02 -2.4926052E-06 -2.2212573E-04  1.8071875E-03  0.0000000E+00
  1.4637935E+02  2.8149479E-02 -2.5154051E-06 -2.2311087E-04  1.8071849E-03  0.0000000E+00
  1.4637935E+02  2.8281694E-02 -2.5383672E-06 -2.2409838E-04  1.8071823E-03  0.0000000E+00
  1.4637935E+02  2.8413511E-02 -2.5613539E-06 -2.2508237E-04  1.8071796E-03  0.0000000E+00
  1.4637935E+02  2.8545723E-02 -2.5845030E-06 -2.2606875E-04  1.8071770E-03  0.0000000E+00
  1.4637935E+02  2.8677934E-02 -2.6077463E-06 -2.2705455E-04  1.8071744E-03  0.0000000E+00
  1.4637935E+02  2.8809747E-02 -2.6310117E-06 -2.2803683E-04  1.8071718E-03  0.0000000E+00
