          atime             vx             vy             vz             pr        garbage
  7.8507600E+01  8.7305956E-01 -4.0831351E-02  3.6205763E-02  2.0787662E-02  0.0000000E+00
  7.8507600E+01  8.8112522E-01 -3.9998691E-02  3.5187221E-02  2.0058083E-02  0.0000000E+00
  7.8507600E+01  8.8884084E-01 -3.9285709E-02  3.3862340E-02  1.9389566E-02  0.0000000E+00
  7.8507600E+01  8.9626232E-01 -3.8685680E-02  3.2325302E-02  1.8760436E-02  0.0000000E+00
  7.8507600E+01  9.0351945E-01 -3.8186346E-02  3.0709779E-02  1.8170434E-02  0.0000000E+00
  7.8507600E+01  9.1081855E-01 -3.7758476E-02  2.9134043E-02  1.7594167E-02  0.0000000E+00
  7.8507600E+01  9.1816495E-01 -3.7396027E-02  2.7552927E-02  1.7043024E-02  0.0000000E+00
  7.8507600E+01  9.2543536E-01 -3.7093621E-02  2.5898062E-02  1.6510549E-02  0.0000000E+00
  7.8507600E+01  9.3251764E-01 -3.6834082E-02  2.4165317E-02  1.5984478E-02  0.0000000E+00
  7.8507600E+01  9.3943625E-01 -3.6594175E-02  2.2427435E-02  1.5477633E-02  0.0000000E+00
  7.8507600E+01  9.4629170E-01 -3.6373619E-02  2.0781896E-02  1.5001287E-02  0.0000000E+00
  7.8507600E+01  9.5314045E-01 -3.6217482E-02  1.9230060E-02  1.4544098E-02  0.0000000E+00
  7.8507600E+01  9.6012514E-01 -3.6135427E-02  1.7728463E-02  1.4091339E-02  0.0000000E+00
  7.8507600E+01  9.6741444E-01 -3.6103616E-02  1.6134734E-02  1.3695070E-02  0.0000000E+00
  7.8507600E+01  9.7494298E-01 -3.6087650E-02  1.4355802E-02  1.3293643E-02  0.0000000E+00
  7.8507600E+01  9.8250786E-01 -3.6047234E-02  1.2395691E-02  1.2874060E-02  0.0000000E+00
  7.8507600E+01  9.8982474E-01 -3.5942256E-02  1.0358402E-02  1.2506993E-02  0.0000000E+00
  7.8507600E+01  9.9679600E-01 -3.5745497E-02  8.3520422E-03  1.2255708E-02  0.0000000E+00
  7.8507600E+01  1.0035387E+00 -3.5463219E-02  6.4147080E-03  1.2184253E-02  0.0000000E+00
  7.8507600E+01  1.0102701E+00 -3.5150506E-02  4.4602480E-03  1.2482158E-02  0.0000000E+00
  7.8507600E+01  1.0169611E+00 -3.4849400E-02  2.4257551E-03  1.3091641E-02  0.0000000E+00
  7.8507600E+01  1.0236343E+00 -3.4536353E-02  4.0772085E-04  1.3873741E-02  0.0000000E+00
  7.8507600E+01  1.0302394E+00 -3.4203369E-02 -1.4268779E-03  1.4530952E-02  0.0000000E+00
  7.8507600E+01  1.0367231E+00 -3.3871260E-02 -3.0166193E-03  1.4735748E-02  0.0000000E+00
  7.8507600E+01  1.0430358E+00 -3.3556870E-02 -4.3955477E-03  1.4181445E-02  0.0000000E+00
  7.8507600E+01  1.0491069E+00 -3.3250504E-02 -5.6126417E-03  1.2903689E-02  0.0000000E+00
  7.8507600E+01  1.0549687E+00 -3.2906703E-02 -6.6655666E-03  1.1422086E-02  0.0000000E+00
  7.8507600E+01  1.0607046E+00 -3.2478419E-02 -7.4381874E-03  1.0255106E-02  0.0000000E+00
  7.8507600E+01  1.0664569E+00 -3.1963149E-02 -7.9261326E-03  9.7146434E-03  0.0000000E+00
  7.8507600E+01  1.0722582E+00 -3.1394647E-02 -8.2554377E-03  9.6746630E-03  0.0000000E+00
  7.8507600E+01  1.0780093E+00 -3.0788697E-02 -8.4881178E-03  1.0037447E-02  0.0000000E+00
  7.8507600E+01  1.0835917E+00 -3.0167824E-02 -8.6002696E-03  1.0608000E-02  0.0000000E+00
  7.8507600E+01  1.0889605E+00 -2.9566649E-02 -8.5685271E-03  1.1271362E-02  0.0000000E+00
  7.8507600E+01  1.0940787E+00 -2.9029579E-02 -8.4001343E-03  1.1968362E-02  0.0000000E+00
  7.8507600E+01  1.0989975E+00 -2.8580273E-02 -8.1230319E-03  1.2633739E-02  0.0000000E+00
  7.8507600E+01  1.1037890E+00 -2.8209362E-02 -7.7547299E-03  1.3205755E-02  0.0000000E+00
  7.8507600E+01  1.1085917E+00 -2.7871783E-02 -7.2929542E-03  1.3669933E-02  0.0000000E+00
  7.8507600E+01  1.1135271E+00 -2.7536090E-02 -6.7982530E-03  1.4005349E-02  0.0000000E+00
  7.8507600E+01  1.1185101E+00 -2.7203847E-02 -6.3373912E-03  1.4189285E-02  0.0000000E+00
  7.8507600E+01  1.1234749E+00 -2.6897758E-02 -5.9886592E-03  1.4248265E-02  0.0000000E+00
  7.8507600E+01  1.1283889E+00 -2.6636991E-02 -5.8246242E-03  1.4210388E-02  0.0000000E+00
  7.8507600E+01  1.1333091E+00 -2.6419601E-02 -5.8836174E-03  1.4088648E-02  0.0000000E+00
  7.8507600E+01  1.1383093E+00 -2.6224452E-02 -6.1559904E-03  1.3900477E-02  0.0000000E+00
  7.8507600E+01  1.1434240E+00 -2.6021854E-02 -6.5805643E-03  1.3671242E-02  0.0000000E+00
  7.8507600E+01  1.1486281E+00 -2.5789370E-02 -7.0768298E-03  1.3393107E-02  0.0000000E+00
  7.8507600E+01  1.1538101E+00 -2.5512958E-02 -7.6189933E-03  1.3077287E-02  0.0000000E+00
  7.8507600E+01  1.1588445E+00 -2.5185930E-02 -8.2171205E-03  1.2725666E-02  0.0000000E+00
  7.8507600E+01  1.1636086E+00 -2.4812889E-02 -8.8702451E-03  1.2345923E-02  0.0000000E+00
  7.8507600E+01  1.1680944E+00 -2.4411433E-02 -9.5430050E-03  1.1939422E-02  0.0000000E+00
