          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  7.8507600E+01  1.0361973E-01 -5.5830336E-02 -4.7783949E-02  2.6217469E-02  0.0000000E+00
  7.8507600E+01  9.7500780E-02 -5.2031078E-02 -4.5458072E-02  2.6507018E-02  0.0000000E+00
  7.8507600E+01  9.1068233E-02 -4.7998486E-02 -4.3062956E-02  2.6774874E-02  0.0000000E+00
  7.8507600E+01  8.4468328E-02 -4.3764746E-02 -4.0695606E-02  2.7010378E-02  0.0000000E+00
  7.8507600E+01  7.7715383E-02 -3.9238599E-02 -3.8469709E-02  2.7202253E-02  0.0000000E+00
  7.8507600E+01  7.0882681E-02 -3.4390069E-02 -3.6483885E-02  2.7344730E-02  0.0000000E+00
  7.8507600E+01  6.4210874E-02 -2.9582291E-02 -3.4620675E-02  2.7436116E-02  0.0000000E+00
  7.8507600E+01  5.7954171E-02 -2.5234336E-02 -3.2716136E-02  2.7473400E-02  0.0000000E+00
  7.8507600E+01  5.2180083E-02 -2.1509195E-02 -3.0669049E-02  2.7451676E-02  0.0000000E+00
  7.8507600E+01  4.6963590E-02 -1.8416107E-02 -2.8540904E-02  2.7364179E-02  0.0000000E+00
  7.8507600E+01  4.2397418E-02 -1.5977669E-02 -2.6414850E-02  2.7208295E-02  0.0000000E+00
  7.8507600E+01  3.8383022E-02 -1.3953390E-02 -2.4426062E-02  2.6985437E-02  0.0000000E+00
  7.8507600E+01  3.4887281E-02 -1.2261312E-02 -2.2622459E-02  2.6699419E-02  0.0000000E+00
  7.8507600E+01  3.1801014E-02 -1.0690591E-02 -2.1106410E-02  2.6355424E-02  0.0000000E+00
  7.8507600E+01  2.9123488E-02 -9.3087198E-03 -1.9811993E-02  2.5962072E-02  0.0000000E+00
  7.8507600E+01  2.6883409E-02 -8.2430768E-03 -1.8638097E-02  2.5530297E-02  0.0000000E+00
  7.8507600E+01  2.5046174E-02 -7.5327501E-03 -1.7510765E-02  2.5065797E-02  0.0000000E+00
  7.8507600E+01  2.3519041E-02 -7.1028079E-03 -1.6416742E-02  2.4572863E-02  0.0000000E+00
  7.8507600E+01  2.2188970E-02 -6.8146775E-03 -1.5367236E-02  2.4056791E-02  0.0000000E+00
  7.8507600E+01  2.0998409E-02 -6.6167123E-03 -1.4381918E-02  2.3519740E-02  0.0000000E+00
  7.8507600E+01  2.0034689E-02 -6.5610825E-03 -1.3470812E-02  2.2965453E-02  0.0000000E+00
  7.8507600E+01  1.9357536E-02 -6.6828241E-03 -1.2673298E-02  2.2401940E-02  0.0000000E+00
  7.8507600E+01  1.8930284E-02 -6.9284426E-03 -1.2001934E-02  2.1836149E-02  0.0000000E+00
  7.8507600E+01  1.8686048E-02 -7.2401689E-03 -1.1444998E-02  2.1275657E-02  0.0000000E+00
  7.8507600E+01  1.8545504E-02 -7.5676290E-03 -1.0976905E-02  2.0727111E-02  0.0000000E+00
  7.8507600E+01  1.8424732E-02 -7.8569805E-03 -1.0567442E-02  2.0192731E-02  0.0000000E+00
  7.8507600E+01  1.8266131E-02 -8.0778405E-03 -1.0186196E-02  1.9673491E-02  0.0000000E+00
  7.8507600E+01  1.8058677E-02 -8.2252160E-03 -9.8314911E-03  1.9170114E-02  0.0000000E+00
  7.8507600E+01  1.7831430E-02 -8.3232747E-03 -9.5078681E-03  1.8678534E-02  0.0000000E+00
  7.8507600E+01  1.7549515E-02 -8.3117435E-03 -9.2376113E-03  1.8196094E-02  0.0000000E+00
  7.8507600E+01  1.7156847E-02 -8.1409898E-03 -9.0151894E-03  1.7722941E-02  0.0000000E+00
  7.8507600E+01  1.6685855E-02 -7.8828538E-03 -8.8025249E-03  1.7256713E-02  0.0000000E+00
  7.8507600E+01  1.6222570E-02 -7.6556339E-03 -8.5664275E-03  1.6798886E-02  0.0000000E+00
  7.8507600E+01  1.5812551E-02 -7.5133357E-03 -8.2985766E-03  1.6348536E-02  0.0000000E+00
  7.8507600E+01  1.5423709E-02 -7.4073760E-03 -8.0165980E-03  1.5905508E-02  0.0000000E+00
  7.8507600E+01  1.5033825E-02 -7.2904843E-03 -7.7423130E-03  1.5469726E-02  0.0000000E+00
  7.8507600E+01  1.4655720E-02 -7.1597493E-03 -7.4958788E-03  1.5041925E-02  0.0000000E+00
  7.8507600E+01  1.4300569E-02 -7.0349475E-03 -7.2649052E-03  1.4621454E-02  0.0000000E+00
  7.8507600E+01  1.3947533E-02 -6.8911870E-03 -7.0561511E-03  1.4210983E-02  0.0000000E+00
  7.8507600E+01  1.3585995E-02 -6.7227784E-03 -6.8633367E-03  1.3809456E-02  0.0000000E+00
  7.8507600E+01  1.3217595E-02 -6.5380805E-03 -6.6792068E-03  1.3414665E-02  0.0000000E+00
  7.8507600E+01  1.2859111E-02 -6.3520685E-03 -6.5065999E-03  1.3027983E-02  0.0000000E+00
  7.8507600E+01  1.2530055E-02 -6.1754340E-03 -6.3547757E-03  1.2648812E-02  0.0000000E+00
  7.8507600E+01  1.2238211E-02 -6.0155220E-03 -6.2203456E-03  1.2277440E-02  0.0000000E+00
  7.8507600E+01  1.1907409E-02 -5.7932080E-03 -6.1145710E-03  1.1913860E-02  0.0000000E+00
  7.8507600E+01  1.1541112E-02 -5.5431906E-03 -5.9975097E-03  1.1560212E-02  0.0000000E+00
  7.8507600E+01  1.1161706E-02 -5.2999444E-03 -5.8614824E-03  1.1217420E-02  0.0000000E+00
  7.8507600E+01  1.0810591E-02 -5.1056837E-03 -5.7048704E-03  1.0886510E-02  0.0000000E+00
  7.8507600E+01  1.0503878E-02 -4.9739844E-03 -5.5297182E-03  1.0565698E-02  0.0000000E+00
